"Artikelnummer";"Artikelname";"Interner Schlüssel";"GTIN";"HAN";"Eigene ID";"Attributgruppe";"Attributname";"Attributwert";"Sortiernummer";"Datentyp (sonst automatisch ermittelt)";"Attributart";"Englisch: Attributname";"Englisch: Attributwert";"MeaLana-Onlineshop Deutsch: Attributwert";"MeaLana-Onlineshop Englisch: Attributwert";"sockenwolle-online.at Deutsch: Attributwert";"sockenwolle-online.at Englisch: Attributwert";"bio-wolle.at Deutsch: Attributwert";"bio-wolle.at Englisch: Attributwert";"verschlusssache.at Deutsch: Attributwert";"verschlusssache.at Englisch: Attributwert";
"KR-SO-4-1";"Kromski Sonata mit Tasche unlackiert";"31711";;;;"Eigene Attribute";"ampel_text_gruen";"bestellbar";"7";"Freitext";"Attribut";"ampel_text_gruen";;;;;;;;;;
"KR-SO";"Kromski Sonata mit Tasche";"31710";;;;"Eigene Attribute";"ampel_text_gruen";"bestellbar";"7";"Freitext";"Attribut";"ampel_text_gruen";;;;;;;;;;
"KR-FA-1-005";"Kromski Fantasia coral";"31709";;;;"Eigene Attribute";"ampel_text_gruen";"bestellbar";"7";"Freitext";"Attribut";"ampel_text_gruen";;;;;;;;;;
"KR-FA-1-010";"Kromski Fantasia mint";"31708";;;;"Eigene Attribute";"ampel_text_gruen";"bestellbar";"7";"Freitext";"Attribut";"ampel_text_gruen";;;;;;;;;;
"KR-FA-1-001";"Kromski Fantasia schwarz";"31707";;;;"Eigene Attribute";"ampel_text_gruen";"bestellbar";"7";"Freitext";"Attribut";"ampel_text_gruen";;;;;;;;;;
"KR-IL-3-4";"Kromski Interlude gebeizt Mahagonifarbe";"31706";;;;"Eigene Attribute";"ampel_text_gruen";"bestellbar";"7";"Freitext";"Attribut";"ampel_text_gruen";;;;;;;;;;
"KR-IL-3-3";"Kromski Interlude gebeizt Walnußfarbe";"31705";;;;"Eigene Attribute";"ampel_text_gruen";"bestellbar";"7";"Freitext";"Attribut";"ampel_text_gruen";;;;;;;;;;
"KR-IL-3-2";"Kromski Interlude klar lackiert";"31704";;;;"Eigene Attribute";"ampel_text_gruen";"bestellbar";"7";"Freitext";"Attribut";"ampel_text_gruen";;;;;;;;;;
"KR-IL-3-1";"Kromski Interlude unlackiert";"31703";;;;"Eigene Attribute";"ampel_text_gruen";"bestellbar";"7";"Freitext";"Attribut";"ampel_text_gruen";;;;;;;;;;
"KR-IL";"Kromski Interlude";"31702";;;;"Eigene Attribute";"ampel_text_gruen";"bestellbar";"7";"Freitext";"Attribut";"ampel_text_gruen";;;;;;;;;;
"KR-PL-2-4";"Kromski Prelude gebeizt Mahagonifarbe";"31701";;;;"Eigene Attribute";"ampel_text_gruen";"bestellbar";"7";"Freitext";"Attribut";"ampel_text_gruen";;;;;;;;;;
"KR-PL-2-3";"Kromski Prelude gebeizt Walnußfarbe";"31700";;;;"Eigene Attribute";"ampel_text_gruen";"bestellbar";"7";"Freitext";"Attribut";"ampel_text_gruen";;;;;;;;;;
"KR-PL-2-2";"Kromski Prelude klar lackiert";"31699";;;;"Eigene Attribute";"ampel_text_gruen";"bestellbar";"7";"Freitext";"Attribut";"ampel_text_gruen";;;;;;;;;;
"KR-PL-2-1";"Kromski Prelude unlackiert";"31698";;;;"Eigene Attribute";"ampel_text_gruen";"bestellbar";"7";"Freitext";"Attribut";"ampel_text_gruen";;;;;;;;;;
"KR-PL";"Kromski Prelude";"31697";;;;"Eigene Attribute";"ampel_text_gruen";"bestellbar";"7";"Freitext";"Attribut";"ampel_text_gruen";;;;;;;;;;
"KR-FA-1-2E";"Kromski Fantasia klar lackiert ECO";"31696";;;;"Eigene Attribute";"ampel_text_gruen";"bestellbar";"7";"Freitext";"Attribut";"ampel_text_gruen";;;;;;;;;;
"KR-FA-1-1E";"Kromski Fantasia unlackiert ECO";"31695";;;;"Eigene Attribute";"ampel_text_gruen";"bestellbar";"7";"Freitext";"Attribut";"ampel_text_gruen";;;;;;;;;;
"KR-FA-1-3";"Kromski Fantasia walnuss lackiert";"31693";;;;"Eigene Attribute";"ampel_text_gruen";"bestellbar";"7";"Freitext";"Attribut";"ampel_text_gruen";;;;;;;;;;
"KR-FA-1-2";"Kromski Fantasia klar lackiert";"31692";;;;"Eigene Attribute";"ampel_text_gruen";"bestellbar";"7";"Freitext";"Attribut";"ampel_text_gruen";;;;;;;;;;
"KR-FA-1-1";"Kromski Fantasia unlackiert";"31691";;;;"Eigene Attribute";"ampel_text_gruen";"bestellbar";"7";"Freitext";"Attribut";"ampel_text_gruen";;;;;;;;;;
"KR-FA";"Kromski Fantasia";"31690";;;;"Eigene Attribute";"ampel_text_gruen";"bestellbar";"7";"Freitext";"Attribut";"ampel_text_gruen";;;;;;;;;;
"MTG";"Muttertagsüberaschung";"27709";;;;"JTL-Shop";"gratisgeschenk ab";"50";"1";"Freitext";"Funktionsattribut";;;;;;;;;;;
"PL-278042-96";"ProLana Basic Cotton color 96";"24633";"4260343076940";;;"Eigene Attribute";"ampel_text_gruen";"Bitte Farbe wählen:";"7";"Freitext";"Attribut";"ampel_text_gruen";;;;;;;;;;
"PL-278042-95";"ProLana Basic Cotton color 95";"24632";"4260343076933";;;"Eigene Attribute";"ampel_text_gruen";"Bitte Farbe wählen:";"7";"Freitext";"Attribut";"ampel_text_gruen";;;;;;;;;;
"PL-278042-98";"ProLana Basic Cotton color 98";"24631";"4260343076964";;;"Eigene Attribute";"ampel_text_gruen";"Bitte Farbe wählen:";"7";"Freitext";"Attribut";"ampel_text_gruen";;;;;;;;;;
"PL-278042-97";"ProLana Basic Cotton color 97";"24630";"4260343076957";;;"Eigene Attribute";"ampel_text_gruen";"Bitte Farbe wählen:";"7";"Freitext";"Attribut";"ampel_text_gruen";;;;;;;;;;
"278042-110";"ProLana Basic Cotton color 110";"17821";;;;"Eigene Attribute";"ampel_text_gruen";"Bitte Farbe wählen:";"7";"Freitext";"Attribut";"ampel_text_gruen";;;;;;;;;;
"278042-109";"ProLana Basic Cotton color 109";"17820";;;;"Eigene Attribute";"ampel_text_gruen";"Bitte Farbe wählen:";"7";"Freitext";"Attribut";"ampel_text_gruen";;;;;;;;;;
"278042-108";"ProLana Basic Cotton color 108";"17819";;;;"Eigene Attribute";"ampel_text_gruen";"Bitte Farbe wählen:";"7";"Freitext";"Attribut";"ampel_text_gruen";;;;;;;;;;
"278042-107";"ProLana Basic Cotton color 107";"17818";;;;"Eigene Attribute";"ampel_text_gruen";"Bitte Farbe wählen:";"7";"Freitext";"Attribut";"ampel_text_gruen";;;;;;;;;;
"278042-106";"ProLana Basic Cotton color 106";"17817";;;;"Eigene Attribute";"ampel_text_gruen";"Bitte Farbe wählen:";"7";"Freitext";"Attribut";"ampel_text_gruen";;;;;;;;;;
"278042-105";"ProLana Basic Cotton color 105";"17816";;;;"Eigene Attribute";"ampel_text_gruen";"Bitte Farbe wählen:";"7";"Freitext";"Attribut";"ampel_text_gruen";;;;;;;;;;
"278042-104";"ProLana Basic Cotton color 104";"17815";;;;"Eigene Attribute";"ampel_text_gruen";"Bitte Farbe wählen:";"7";"Freitext";"Attribut";"ampel_text_gruen";;;;;;;;;;
"278042-103";"ProLana Basic Cotton color 103";"17814";;;;"Eigene Attribute";"ampel_text_gruen";"Bitte Farbe wählen:";"7";"Freitext";"Attribut";"ampel_text_gruen";;;;;;;;;;
"278042-102";"ProLana Basic Cotton color 102";"17813";;;;"Eigene Attribute";"ampel_text_gruen";"Bitte Farbe wählen:";"7";"Freitext";"Attribut";"ampel_text_gruen";;;;;;;;;;
"278042-101";"ProLana Basic Cotton color 101";"17812";;;;"Eigene Attribute";"ampel_text_gruen";"Bitte Farbe wählen:";"7";"Freitext";"Attribut";"ampel_text_gruen";;;;;;;;;;
"D-Cat177";"DROPS 177";"17129";;;;"Eigene Attribute";"ampel_text_rot";"nicht lagernd, beim Hersteller nicht verfügbar";"8";"Freitext";"Attribut";"ampel_text_rot";;;;;;;;;;
"D-Cat177";"DROPS 177";"17129";;;;"JTL-Shop";"gratisgeschenk ab";"0";"1";"Freitext";"Funktionsattribut";;;;;;;;;;;
"D-Cat176";"DROPS 176";"17128";;;;"Eigene Attribute";"ampel_text_rot";"nicht lagernd, beim Hersteller nicht verfügbar";"8";"Freitext";"Attribut";"ampel_text_rot";;;;;;;;;;
"D-Cat176";"DROPS 176";"17128";;;;"JTL-Shop";"gratisgeschenk ab";"0";"1";"Freitext";"Funktionsattribut";;;;;;;;;;;
"D-Cat175";"DROPS 175";"17127";;;;"Eigene Attribute";"ampel_text_rot";"nicht lagernd, beim Hersteller nicht verfügbar";"8";"Freitext";"Attribut";"ampel_text_rot";;;;;;;;;;
"D-Cat175";"DROPS 175";"17127";;;;"JTL-Shop";"gratisgeschenk ab";"0";"1";"Freitext";"Funktionsattribut";;;;;;;;;;;
"D-Children27";"DROPS Children no.27";"15462";;;;"Eigene Attribute";"ampel_text_rot";"nicht lagernd, beim Hersteller nicht verfügbar";"8";"Freitext";"Attribut";"ampel_text_rot";;;;;;;;;;
"D-Cat173";"DROPS 173";"15461";;;;"Eigene Attribute";"ampel_text_rot";"nicht lagernd, beim Hersteller nicht verfügbar";"8";"Freitext";"Attribut";"ampel_text_rot";;;;;;;;;;
"D-Cat172";"DROPS 172";"15460";"7071723014677";;;"Eigene Attribute";"ampel_text_rot";"nicht lagernd, beim Hersteller nicht verfügbar";"8";"Freitext";"Attribut";"ampel_text_rot";;;;;;;;;;
"D-Cat171";"DROPS 171";"15459";;;;"Eigene Attribute";"ampel_text_rot";"nicht lagernd, beim Hersteller nicht verfügbar";"8";"Freitext";"Attribut";"ampel_text_rot";;;;;;;;;;
"D-Cat170";"DROPS 170";"15177";"7071723014288";;;"Eigene Attribute";"ampel_text_rot";"nicht lagernd, beim Hersteller nicht verfügbar";"8";"Freitext";"Attribut";"ampel_text_rot";;;;;;;;;;
"D-Cat169";"DROPS 169";"15176";"7071723014271";;;"Eigene Attribute";"ampel_text_rot";"nicht lagernd, beim Hersteller nicht verfügbar";"8";"Freitext";"Attribut";"ampel_text_rot";;;;;;;;;;
"D-Cat168";"DROPS 168";"15175";"7071723014264";;;"Eigene Attribute";"ampel_text_rot";"nicht lagernd, beim Hersteller nicht verfügbar";"8";"Freitext";"Attribut";"ampel_text_rot";;;;;;;;;;
"D-Cat167";"DROPS 167";"15174";"7071723014257";;;"Eigene Attribute";"ampel_text_rot";"nicht lagernd, beim Hersteller nicht verfügbar";"8";"Freitext";"Attribut";"ampel_text_rot";;;;;;;;;;
"D-101210";"Cloud [Mix] rot (10#)";"14938";"7071723013977";"101210";;"Eigene Attribute";"ampel_text_rot";"nicht lagernd, beim Hersteller nicht verfügbar";"8";"Freitext";"Attribut";"ampel_text_rot";;;;;;;;;;
"D-109920";"Air [Uni] rosa (20)#";"14937";"7071723013960";"109920";;"Eigene Attribute";"ampel_text_rot";"nicht lagernd, beim Hersteller nicht verfügbar";"8";"Freitext";"Attribut";"ampel_text_rot";;;;;;;;;;
"D-109919";"Air [Uni] waldgrün (19)";"14936";"7071723013953";"109919";;"Eigene Attribute";"ampel_text_rot";"nicht lagernd, beim Hersteller nicht verfügbar";"8";"Freitext";"Attribut";"ampel_text_rot";;;;;;;;;;
"D-109918";"Air [Uni] hell graugrün (18)";"14935";"7071723013946";"109918";;"Eigene Attribute";"ampel_text_rot";"nicht lagernd, beim Hersteller nicht verfügbar";"8";"Freitext";"Attribut";"ampel_text_rot";;;;;;;;;;
"D-109917";"Air [Uni] jeansblau (17)";"14934";"7071723013939";"109917";;"Eigene Attribute";"ampel_text_rot";"nicht lagernd, beim Hersteller nicht verfügbar";"8";"Freitext";"Attribut";"ampel_text_rot";;;;;;;;;;
"D-109916";"Air [Uni] blau (16)";"14933";"7071723013922";"109916";;"Eigene Attribute";"ampel_text_rot";"nicht lagernd, beim Hersteller nicht verfügbar";"8";"Freitext";"Attribut";"ampel_text_rot";;;;;;;;;;
"D-109915";"Air [Mix] lila nebel (15)";"14932";"7071723013915";"109915";;"Eigene Attribute";"ampel_text_rot";"nicht lagernd, beim Hersteller nicht verfügbar";"8";"Freitext";"Attribut";"ampel_text_rot";;;;;;;;;;
"D-109914";"Air [Uni] erika (14)";"14931";"7071723013908";"109914";;"Eigene Attribute";"ampel_text_rot";"nicht lagernd, beim Hersteller nicht verfügbar";"8";"Freitext";"Attribut";"ampel_text_rot";;;;;;;;;;
"D-109913";"Air [Mix] orange (13)";"14930";"7071723013892";"109913";;"Eigene Attribute";"ampel_text_rot";"nicht lagernd, beim Hersteller nicht verfügbar";"8";"Freitext";"Attribut";"ampel_text_rot";;;;;;;;;;
"D-10469022";"Alpaca [Uni] koralle (9022)#";"14755";"7071723013885";"10469022";;"Eigene Attribute";"ampel_text_rot";"nicht lagernd, beim Hersteller nicht verfügbar";"8";"Freitext";"Attribut";"ampel_text_rot";;;;;;;;;;
"D-10939018";"Lima [Mix] meeresgrün (9018)";"14619";"7071723012802";"10939018";;"Eigene Attribute";"ampel_text_rot";"nicht lagernd, beim Hersteller nicht verfügbar";"8";"Freitext";"Attribut";"ampel_text_rot";;;;;;;;;;
"D-102517";"Belle [Uni] petrol (17)";"14618";"7071723013830";"102517";;"Eigene Attribute";"ampel_text_rot";"nicht lagernd, beim Hersteller nicht verfügbar";"8";"Freitext";"Attribut";"ampel_text_rot";;;;;;;;;;
"D-Basic-Steel-HN";"DROPS Basic Stahl - Häkelnadel 13 cm";"14601";;;;"Eigene Attribute";"ampel_text_rot";"nicht lagernd, beim Hersteller nicht verfügbar";"8";"Freitext";"Attribut";"ampel_text_rot";;;;;;;;;;
"D-Basic-Birch-HN";"DROPS Basic Birkenholz - Häkelnadel 15 cm";"14600";;;;"Eigene Attribute";"ampel_text_rot";"nicht lagernd, beim Hersteller nicht verfügbar";"8";"Freitext";"Attribut";"ampel_text_rot";;;;;;;;;;
"D-Basic-ALU-HN";"DROPS Basic Aluminium - Häkelnadel 15 cm";"14599";;;;"Eigene Attribute";"ampel_text_rot";"nicht lagernd, beim Hersteller nicht verfügbar";"8";"Freitext";"Attribut";"ampel_text_rot";;;;;;;;;;
"D-Basic-Birch-SP";"DROPS Basic Birkenholz - Paarnadeln 35 cm";"14598";;;;"Eigene Attribute";"ampel_text_rot";"nicht lagernd, beim Hersteller nicht verfügbar";"8";"Freitext";"Attribut";"ampel_text_rot";;;;;;;;;;
"D-Basic-ALU-SP";"DROPS Basic Aluminium - Paarnadeln 35 cm";"14597";;;;"Eigene Attribute";"ampel_text_rot";"nicht lagernd, beim Hersteller nicht verfügbar";"8";"Freitext";"Attribut";"ampel_text_rot";;;;;;;;;;
"D-Basic-Birch-DP";"DROPS Basic Birkenholz - Nadelspiele 20 cm";"14596";;;;"Eigene Attribute";"ampel_text_rot";"nicht lagernd, beim Hersteller nicht verfügbar";"8";"Freitext";"Attribut";"ampel_text_rot";;;;;;;;;;
"D-Basic-ALU-DP";"DROPS Basic Aluminium - Nadelspiele 20 cm";"14595";;;;"Eigene Attribute";"ampel_text_rot";"nicht lagernd, beim Hersteller nicht verfügbar";"8";"Freitext";"Attribut";"ampel_text_rot";;;;;;;;;;
"D-Basic-Birch-CN";"DROPS Basic Birkenholz - Rundnadel";"14594";;;;"Eigene Attribute";"ampel_text_rot";"nicht lagernd, beim Hersteller nicht verfügbar";"8";"Freitext";"Attribut";"ampel_text_rot";;;;;;;;;;
"D-Basic-ALU-CN";"DROPS Basic Aluminium - Rundnadel";"14593";;;;"Eigene Attribute";"ampel_text_rot";"nicht lagernd, beim Hersteller nicht verfügbar";"8";"Freitext";"Attribut";"ampel_text_rot";;;;;;;;;;
"D-Pro-Stahl-CN";"DROPS Pro Stahl - Rundnadel";"14592";;;;"Eigene Attribute";"ampel_text_rot";"nicht lagernd, beim Hersteller nicht verfügbar";"8";"Freitext";"Attribut";"ampel_text_rot";;;;;;;;;;
"D-1095-7238";"Lace [Mix] oliv (7238)";"12581";"7071723007839";"10957238";;"Eigene Attribute";"ampel_text_rot";"nicht lagernd, beim Hersteller nicht verfügbar";"8";"Freitext";"Attribut";"ampel_text_rot";;;;;;;;;;
"D-1095-5565";"Lace [Mix] weinrot (5565)#";"12580";"7071723007846";"10955565";;"Eigene Attribute";"ampel_text_rot";"nicht lagernd, beim Hersteller nicht verfügbar";"8";"Freitext";"Attribut";"ampel_text_rot";;;;;;;;;;
"D-1095-0501";"Lace [Mix] hellgrau (0501)";"12579";"7071723007488";"10950501";;"Eigene Attribute";"ampel_text_rot";"nicht lagernd, beim Hersteller nicht verfügbar";"8";"Freitext";"Attribut";"ampel_text_rot";;;;;;;;;;
"D-1095-4434";"Lace [Mix] lila/violett (4434)";"12578";"7071723007853";"10954434";;"Eigene Attribute";"ampel_text_rot";"nicht lagernd, beim Hersteller nicht verfügbar";"8";"Freitext";"Attribut";"ampel_text_rot";;;;;;;;;;
"D-1095-2020";"Lace [Mix] hell camel (2020)#";"12577";"7071723007341";"10952020";;"Eigene Attribute";"ampel_text_rot";"nicht lagernd, beim Hersteller nicht verfügbar";"8";"Freitext";"Attribut";"ampel_text_rot";;;;;;;;;;
"D-1095-8903";"Lace [Uni] schwarz (8903)";"12575";"7071723007389";"10958903";;"Eigene Attribute";"ampel_text_rot";"nicht lagernd, beim Hersteller nicht verfügbar";"8";"Freitext";"Attribut";"ampel_text_rot";;;;;;;;;;
"D-1095-8105";"Lace [Uni] eisblau (8105)#";"12574";"7071723007365";"10958105";;"Eigene Attribute";"ampel_text_rot";"nicht lagernd, beim Hersteller nicht verfügbar";"8";"Freitext";"Attribut";"ampel_text_rot";;;;;;;;;;
"D-1095-7120";"Lace [Uni] hell graugrün (7120)#";"12573";"7071723007372";"10957120";;"Eigene Attribute";"ampel_text_rot";"nicht lagernd, beim Hersteller nicht verfügbar";"8";"Freitext";"Attribut";"ampel_text_rot";;;;;;;;;;
"D-1095-6790";"Lace [Uni] königsblau (6790)#";"12572";"7071723007648";"10956790";;"Eigene Attribute";"ampel_text_rot";"nicht lagernd, beim Hersteller nicht verfügbar";"8";"Freitext";"Attribut";"ampel_text_rot";;;;;;;;;;
"D-1095-6410#";"Lace [Uni] türkis (6410)#";"12571";"7071723007655";"10956410";;"Eigene Attribute";"ampel_text_rot";"nicht lagernd, beim Hersteller nicht verfügbar";"8";"Freitext";"Attribut";"ampel_text_rot";;;;;;;;;;
"D-1095-5310";"Lace [Uni] hellbraun (5310)#";"12570";"7071723007464";"10955310";;"Eigene Attribute";"ampel_text_rot";"nicht lagernd, beim Hersteller nicht verfügbar";"8";"Freitext";"Attribut";"ampel_text_rot";;;;;;;;;;
"D-1095-3620";"Lace [Uni] rot (3620)#";"12568";"7071723007471";"10953620";;"Eigene Attribute";"ampel_text_rot";"nicht lagernd, beim Hersteller nicht verfügbar";"8";"Freitext";"Attribut";"ampel_text_rot";;;;;;;;;;
"D-1095-3112";"Lace [Uni] puderrosa (3112)";"12567";"7071723007358";"10953112";;"Eigene Attribute";"ampel_text_rot";"nicht lagernd, beim Hersteller nicht verfügbar";"8";"Freitext";"Attribut";"ampel_text_rot";;;;;;;;;;
"D-1095-0100";"Lace [Uni] natur (0100)";"12566";"7071723007334";"10950100";;"Eigene Attribute";"ampel_text_rot";"nicht lagernd, beim Hersteller nicht verfügbar";"8";"Freitext";"Attribut";"ampel_text_rot";;;;;;;;;;
"D-9036";"DROPS Pro Classic Nadelspiel Set";"12043";"7071723013625";"9036";;"Eigene Attribute";"ampel_text_rot";"nicht lagernd, beim Hersteller nicht verfügbar";"8";"Freitext";"Attribut";"ampel_text_rot";;;;;;;;;;
"D-9037";"DROPS Pro Classic Nadelspitzen Set";"12042";"7071723013632";"9037";;"Eigene Attribute";"ampel_text_rot";"nicht lagernd, beim Hersteller nicht verfügbar";"8";"Freitext";"Attribut";"ampel_text_rot";;;;;;;;;;
"D-9034";"DROPS Pro Romance Häkelnadel Set";"12041";"7071723013601";"9034";;"Eigene Attribute";"ampel_text_rot";"nicht lagernd, beim Hersteller nicht verfügbar";"8";"Freitext";"Attribut";"ampel_text_rot";;;;;;;;;;
"D-9035";"DROPS Pro Romance Nadelspiel Set";"12040";"7071723013618";"9035";;"Eigene Attribute";"ampel_text_rot";"nicht lagernd, beim Hersteller nicht verfügbar";"8";"Freitext";"Attribut";"ampel_text_rot";;;;;;;;;;
"278042-82";"Basic Cotton color - 82";"10388";"4260114488309";;;"Eigene Attribute";"ampel_text_gruen";"Bitte Farbe wählen:";"7";"Freitext";"Attribut";"ampel_text_gruen";;;;;;;;;;
"PL-BC-col";"ProLana Basic Cotton color";"10386";;;;"Eigene Attribute";"ampel_text_gruen";"Bitte Farbe wählen:";"7";"Freitext";"Attribut";"ampel_text_gruen";;;;;;;;;;
"D-102815";"Melody [Uni] beige (15)";"10385";"7071723013823";"102815";;"Eigene Attribute";"ampel_text_rot";"nicht lagernd, beim Hersteller nicht verfügbar";"8";"Freitext";"Attribut";"ampel_text_rot";;;;;;;;;;
"D-102814";"Melody [Uni] vanille (14)";"10384";"7071723013816";"102814";;"Eigene Attribute";"ampel_text_rot";"nicht lagernd, beim Hersteller nicht verfügbar";"8";"Freitext";"Attribut";"ampel_text_rot";;;;;;;;;;
"D-102811";"Melody [Uni] pflaume (11)#";"10381";"7071723013786";"102811";;"Eigene Attribute";"ampel_text_rot";"nicht lagernd, beim Hersteller nicht verfügbar";"8";"Freitext";"Attribut";"ampel_text_rot";;;;;;;;;;
