"Artikelnummer";"Artikelname";"Interner Schlüssel";"GTIN";"HAN";"Eigene ID";"Attributgruppe";"Attributname";"Attributwert";"Sortiernummer";"Datentyp (sonst automatisch ermittelt)";"Attributart";"Englisch: Attributname";"Englisch: Attributwert";"MeaLana-Onlineshop Deutsch: Attributwert";"MeaLana-Onlineshop Englisch: Attributwert";"sockenwolle-online.at Deutsch: Attributwert";"sockenwolle-online.at Englisch: Attributwert";"bio-wolle.at Deutsch: Attributwert";"bio-wolle.at Englisch: Attributwert";"verschlusssache.at Deutsch: Attributwert";"verschlusssache.at Englisch: Attributwert";
"ART-1074012014-0002";"test Delight";"5114";;;;"JTL-Shop";"tpl_artikeldetails";"artikel_inc_ex.tpl";"2";"Freitext";"Funktionsattribut";;;;;;;;;;;
"ART-1074012014-0001";"test Fabel";"5113";;;;"JTL-Shop";"tpl_artikeldetails";"artikel_inc_ex.tpl";"2";"Freitext";"Funktionsattribut";;;;;;;;;;;
"ART-1074012014";"test";"5112";;;;"JTL-Shop";"tpl_artikeldetails";"artikel_inc_ex.tpl";"2";"Freitext";"Funktionsattribut";;;;;;;;;;;
"HN-safe";"safe reflect";"5083";"4260343070689";"27 8313";;"Eigene Attribute";"ampel_text_gelb";"geringe Stückzahl lagernd, wird nachbestellt !";"6";"Freitext";"Attribut";"ampel_text_gelb";;;;;;;;;;
"HN-safe";"safe reflect";"5083";"4260343070689";"27 8313";;"Eigene Attribute";"ampel_text_gruen";"mehr als 10 Stk. lagernd";"7";"Freitext";"Attribut";"ampel_text_gruen";;;;;;;;;;
"HN-safe";"safe reflect";"5083";"4260343070689";"27 8313";;"Eigene Attribute";"ampel_text_rot";"derzeit nicht lieferbar !";"8";"Freitext";"Attribut";"ampel_text_rot";;;;;;;;;;
"HN-gaudy-89";"hatnut gaudy orange (89)";"5040";"4260114488668";"27 8305-89";;"Eigene Attribute";"ampel_text_gelb";"geringe Stückzahl lagernd, wird nachbestellt !";"6";"Freitext";"Attribut";"ampel_text_gelb";;;;;;;;;;
"HN-gaudy-89";"hatnut gaudy orange (89)";"5040";"4260114488668";"27 8305-89";;"Eigene Attribute";"ampel_text_gruen";"mehr als 10 Stk. lagernd";"7";"Freitext";"Attribut";"ampel_text_gruen";;;;;;;;;;
"HN-gaudy-89";"hatnut gaudy orange (89)";"5040";"4260114488668";"27 8305-89";;"Eigene Attribute";"ampel_text_rot";"derzeit nicht lieferbar !";"8";"Freitext";"Attribut";"ampel_text_rot";;;;;;;;;;
"HN-gaudy-88";"hatnut gaudy grün (88)";"5039";"4260114488651";"27 8305-88";;"Eigene Attribute";"ampel_text_gelb";"geringe Stückzahl lagernd, wird nachbestellt !";"6";"Freitext";"Attribut";"ampel_text_gelb";;;;;;;;;;
"HN-gaudy-88";"hatnut gaudy grün (88)";"5039";"4260114488651";"27 8305-88";;"Eigene Attribute";"ampel_text_gruen";"mehr als 10 Stk. lagernd";"7";"Freitext";"Attribut";"ampel_text_gruen";;;;;;;;;;
"HN-gaudy-88";"hatnut gaudy grün (88)";"5039";"4260114488651";"27 8305-88";;"Eigene Attribute";"ampel_text_rot";"derzeit nicht lieferbar !";"8";"Freitext";"Attribut";"ampel_text_rot";;;;;;;;;;
"HN-gaudy-87";"hatnut gaudy blau (87)";"5038";"4260114488644";"27 8305-87";;"Eigene Attribute";"ampel_text_gelb";"geringe Stückzahl lagernd, wird nachbestellt !";"6";"Freitext";"Attribut";"ampel_text_gelb";;;;;;;;;;
"HN-gaudy-87";"hatnut gaudy blau (87)";"5038";"4260114488644";"27 8305-87";;"Eigene Attribute";"ampel_text_gruen";"mehr als 10 Stk. lagernd";"7";"Freitext";"Attribut";"ampel_text_gruen";;;;;;;;;;
"HN-gaudy-87";"hatnut gaudy blau (87)";"5038";"4260114488644";"27 8305-87";;"Eigene Attribute";"ampel_text_rot";"derzeit nicht lieferbar !";"8";"Freitext";"Attribut";"ampel_text_rot";;;;;;;;;;
"HN-gaudy-86";"hatnut gaudy pink (86)";"5037";"4260114488637";"27 8305-86";;"Eigene Attribute";"ampel_text_gelb";"geringe Stückzahl lagernd, wird nachbestellt !";"6";"Freitext";"Attribut";"ampel_text_gelb";;;;;;;;;;
"HN-gaudy-86";"hatnut gaudy pink (86)";"5037";"4260114488637";"27 8305-86";;"Eigene Attribute";"ampel_text_gruen";"mehr als 10 Stk. lagernd";"7";"Freitext";"Attribut";"ampel_text_gruen";;;;;;;;;;
"HN-gaudy-86";"hatnut gaudy pink (86)";"5037";"4260114488637";"27 8305-86";;"Eigene Attribute";"ampel_text_rot";"derzeit nicht lieferbar !";"8";"Freitext";"Attribut";"ampel_text_rot";;;;;;;;;;
"HN-gaudy-85";"hatnut gaudy gelb (85)";"5036";"4260114488620";"27 8305-85";;"Eigene Attribute";"ampel_text_gelb";"geringe Stückzahl lagernd, wird nachbestellt !";"6";"Freitext";"Attribut";"ampel_text_gelb";;;;;;;;;;
"HN-gaudy-85";"hatnut gaudy gelb (85)";"5036";"4260114488620";"27 8305-85";;"Eigene Attribute";"ampel_text_gruen";"mehr als 10 Stk. lagernd";"7";"Freitext";"Attribut";"ampel_text_gruen";;;;;;;;;;
"HN-gaudy-85";"hatnut gaudy gelb (85)";"5036";"4260114488620";"27 8305-85";;"Eigene Attribute";"ampel_text_rot";"derzeit nicht lieferbar !";"8";"Freitext";"Attribut";"ampel_text_rot";;;;;;;;;;
"F-FilzM-Twe-2015";"Filz Mich Tweed Fb: 2015";"5001";;;;"Eigene Attribute";"ampel_text_gelb";"geringe Stückzahl lagernd, wird nachbestellt !";"6";"Freitext";"Attribut";"ampel_text_gelb";;;;;;;;;;
"F-FilzM-Twe-2015";"Filz Mich Tweed Fb: 2015";"5001";;;;"Eigene Attribute";"ampel_text_gruen";"mehr als 10 Stk. lagernd";"7";"Freitext";"Attribut";"ampel_text_gruen";;;;;;;;;;
"F-FilzM-Twe-2015";"Filz Mich Tweed Fb: 2015";"5001";;;;"Eigene Attribute";"ampel_text_rot";"derzeit nicht lieferbar !";"8";"Freitext";"Attribut";"ampel_text_rot";;;;;;;;;;
"F-FilzM-2005";"Filz Mich Fb: 2005";"4993";;;;"Eigene Attribute";"ampel_text_gelb";"geringe Stückzahl lagernd, wird nachbestellt !";"6";"Freitext";"Attribut";"ampel_text_gelb";;;;;;;;;;
"F-FilzM-2005";"Filz Mich Fb: 2005";"4993";;;;"Eigene Attribute";"ampel_text_gruen";"mehr als 10 Stk. lagernd";"7";"Freitext";"Attribut";"ampel_text_gruen";;;;;;;;;;
"F-FilzM-2005";"Filz Mich Fb: 2005";"4993";;;;"Eigene Attribute";"ampel_text_rot";"derzeit nicht lieferbar !";"8";"Freitext";"Attribut";"ampel_text_rot";;;;;;;;;;
"F-Alp-190";"100% Alpaca Fb: 190";"4971";;;;"Eigene Attribute";"ampel_text_gelb";"geringe Stückzahl lagernd, wird nachbestellt !";"6";"Freitext";"Attribut";"ampel_text_gelb";;;;;;;;;;
"F-Alp-190";"100% Alpaca Fb: 190";"4971";;;;"Eigene Attribute";"ampel_text_gruen";"mehr als 10 Stk. lagernd";"7";"Freitext";"Attribut";"ampel_text_gruen";;;;;;;;;;
"F-Alp-190";"100% Alpaca Fb: 190";"4971";;;;"Eigene Attribute";"ampel_text_rot";"derzeit nicht lieferbar !";"8";"Freitext";"Attribut";"ampel_text_rot";;;;;;;;;;
"F-Alp-186";"100% Alpaca Fb: 186";"4970";;;;"Eigene Attribute";"ampel_text_gelb";"geringe Stückzahl lagernd, wird nachbestellt !";"6";"Freitext";"Attribut";"ampel_text_gelb";;;;;;;;;;
"F-Alp-186";"100% Alpaca Fb: 186";"4970";;;;"Eigene Attribute";"ampel_text_gruen";"mehr als 10 Stk. lagernd";"7";"Freitext";"Attribut";"ampel_text_gruen";;;;;;;;;;
"F-Alp-186";"100% Alpaca Fb: 186";"4970";;;;"Eigene Attribute";"ampel_text_rot";"derzeit nicht lieferbar !";"8";"Freitext";"Attribut";"ampel_text_rot";;;;;;;;;;
"F-Alp-182";"100% Alpaca Fb: 182";"4969";;;;"Eigene Attribute";"ampel_text_gelb";"geringe Stückzahl lagernd, wird nachbestellt !";"6";"Freitext";"Attribut";"ampel_text_gelb";;;;;;;;;;
"F-Alp-182";"100% Alpaca Fb: 182";"4969";;;;"Eigene Attribute";"ampel_text_gruen";"mehr als 10 Stk. lagernd";"7";"Freitext";"Attribut";"ampel_text_gruen";;;;;;;;;;
"F-Alp-182";"100% Alpaca Fb: 182";"4969";;;;"Eigene Attribute";"ampel_text_rot";"derzeit nicht lieferbar !";"8";"Freitext";"Attribut";"ampel_text_rot";;;;;;;;;;
"F-Alp-178";"100% Alpaca Fb: 178";"4968";;;;"Eigene Attribute";"ampel_text_gelb";"geringe Stückzahl lagernd, wird nachbestellt !";"6";"Freitext";"Attribut";"ampel_text_gelb";;;;;;;;;;
"F-Alp-178";"100% Alpaca Fb: 178";"4968";;;;"Eigene Attribute";"ampel_text_gruen";"mehr als 10 Stk. lagernd";"7";"Freitext";"Attribut";"ampel_text_gruen";;;;;;;;;;
"F-Alp-178";"100% Alpaca Fb: 178";"4968";;;;"Eigene Attribute";"ampel_text_rot";"derzeit nicht lieferbar !";"8";"Freitext";"Attribut";"ampel_text_rot";;;;;;;;;;
"F-Alp-174";"100% Alpaca Fb: 174";"4967";;;;"Eigene Attribute";"ampel_text_gelb";"geringe Stückzahl lagernd, wird nachbestellt !";"6";"Freitext";"Attribut";"ampel_text_gelb";;;;;;;;;;
"F-Alp-174";"100% Alpaca Fb: 174";"4967";;;;"Eigene Attribute";"ampel_text_gruen";"mehr als 10 Stk. lagernd";"7";"Freitext";"Attribut";"ampel_text_gruen";;;;;;;;;;
"F-Alp-174";"100% Alpaca Fb: 174";"4967";;;;"Eigene Attribute";"ampel_text_rot";"derzeit nicht lieferbar !";"8";"Freitext";"Attribut";"ampel_text_rot";;;;;;;;;;
"F-Alp-170";"100% Alpaca Fb: 170";"4966";;;;"Eigene Attribute";"ampel_text_gelb";"geringe Stückzahl lagernd, wird nachbestellt !";"6";"Freitext";"Attribut";"ampel_text_gelb";;;;;;;;;;
"F-Alp-170";"100% Alpaca Fb: 170";"4966";;;;"Eigene Attribute";"ampel_text_gruen";"mehr als 10 Stk. lagernd";"7";"Freitext";"Attribut";"ampel_text_gruen";;;;;;;;;;
"F-Alp-170";"100% Alpaca Fb: 170";"4966";;;;"Eigene Attribute";"ampel_text_rot";"derzeit nicht lieferbar !";"8";"Freitext";"Attribut";"ampel_text_rot";;;;;;;;;;
"F-Alp-154";"100% Alpaca Fb: 154";"4965";;;;"Eigene Attribute";"ampel_text_gelb";"geringe Stückzahl lagernd, wird nachbestellt !";"6";"Freitext";"Attribut";"ampel_text_gelb";;;;;;;;;;
"F-Alp-154";"100% Alpaca Fb: 154";"4965";;;;"Eigene Attribute";"ampel_text_gruen";"mehr als 10 Stk. lagernd";"7";"Freitext";"Attribut";"ampel_text_gruen";;;;;;;;;;
"F-Alp-154";"100% Alpaca Fb: 154";"4965";;;;"Eigene Attribute";"ampel_text_rot";"derzeit nicht lieferbar !";"8";"Freitext";"Attribut";"ampel_text_rot";;;;;;;;;;
"F-Alp-139";"100% Alpaca Fb: 139";"4964";;;;"Eigene Attribute";"ampel_text_gelb";"geringe Stückzahl lagernd, wird nachbestellt !";"6";"Freitext";"Attribut";"ampel_text_gelb";;;;;;;;;;
"F-Alp-139";"100% Alpaca Fb: 139";"4964";;;;"Eigene Attribute";"ampel_text_gruen";"mehr als 10 Stk. lagernd";"7";"Freitext";"Attribut";"ampel_text_gruen";;;;;;;;;;
"F-Alp-139";"100% Alpaca Fb: 139";"4964";;;;"Eigene Attribute";"ampel_text_rot";"derzeit nicht lieferbar !";"8";"Freitext";"Attribut";"ampel_text_rot";;;;;;;;;;
"F-Alp-138";"100% Alpaca Fb: 138";"4963";;;;"Eigene Attribute";"ampel_text_gelb";"geringe Stückzahl lagernd, wird nachbestellt !";"6";"Freitext";"Attribut";"ampel_text_gelb";;;;;;;;;;
"F-Alp-138";"100% Alpaca Fb: 138";"4963";;;;"Eigene Attribute";"ampel_text_gruen";"mehr als 10 Stk. lagernd";"7";"Freitext";"Attribut";"ampel_text_gruen";;;;;;;;;;
"F-Alp-138";"100% Alpaca Fb: 138";"4963";;;;"Eigene Attribute";"ampel_text_rot";"derzeit nicht lieferbar !";"8";"Freitext";"Attribut";"ampel_text_rot";;;;;;;;;;
"F-Alp-134";"100% Alpaca Fb: 134";"4962";;;;"Eigene Attribute";"ampel_text_gelb";"geringe Stückzahl lagernd, wird nachbestellt !";"6";"Freitext";"Attribut";"ampel_text_gelb";;;;;;;;;;
"F-Alp-134";"100% Alpaca Fb: 134";"4962";;;;"Eigene Attribute";"ampel_text_gruen";"mehr als 10 Stk. lagernd";"7";"Freitext";"Attribut";"ampel_text_gruen";;;;;;;;;;
"F-Alp-134";"100% Alpaca Fb: 134";"4962";;;;"Eigene Attribute";"ampel_text_rot";"derzeit nicht lieferbar !";"8";"Freitext";"Attribut";"ampel_text_rot";;;;;;;;;;
"F-Alp-130";"100% Alpaca Fb: 130";"4961";;;;"Eigene Attribute";"ampel_text_gelb";"geringe Stückzahl lagernd, wird nachbestellt !";"6";"Freitext";"Attribut";"ampel_text_gelb";;;;;;;;;;
"F-Alp-130";"100% Alpaca Fb: 130";"4961";;;;"Eigene Attribute";"ampel_text_gruen";"mehr als 10 Stk. lagernd";"7";"Freitext";"Attribut";"ampel_text_gruen";;;;;;;;;;
"F-Alp-130";"100% Alpaca Fb: 130";"4961";;;;"Eigene Attribute";"ampel_text_rot";"derzeit nicht lieferbar !";"8";"Freitext";"Attribut";"ampel_text_rot";;;;;;;;;;
"F-Alp-118";"100% Alpaca Fb: 118";"4960";;;;"Eigene Attribute";"ampel_text_gelb";"geringe Stückzahl lagernd, wird nachbestellt !";"6";"Freitext";"Attribut";"ampel_text_gelb";;;;;;;;;;
"F-Alp-118";"100% Alpaca Fb: 118";"4960";;;;"Eigene Attribute";"ampel_text_gruen";"mehr als 10 Stk. lagernd";"7";"Freitext";"Attribut";"ampel_text_gruen";;;;;;;;;;
"F-Alp-118";"100% Alpaca Fb: 118";"4960";;;;"Eigene Attribute";"ampel_text_rot";"derzeit nicht lieferbar !";"8";"Freitext";"Attribut";"ampel_text_rot";;;;;;;;;;
"F-Alp-113";"100% Alpaca Fb: 113";"4959";;;;"Eigene Attribute";"ampel_text_gelb";"geringe Stückzahl lagernd, wird nachbestellt !";"6";"Freitext";"Attribut";"ampel_text_gelb";;;;;;;;;;
"F-Alp-113";"100% Alpaca Fb: 113";"4959";;;;"Eigene Attribute";"ampel_text_gruen";"mehr als 10 Stk. lagernd";"7";"Freitext";"Attribut";"ampel_text_gruen";;;;;;;;;;
"F-Alp-113";"100% Alpaca Fb: 113";"4959";;;;"Eigene Attribute";"ampel_text_rot";"derzeit nicht lieferbar !";"8";"Freitext";"Attribut";"ampel_text_rot";;;;;;;;;;
"F-Alp-110";"100% Alpaca Fb: 110";"4958";;;;"Eigene Attribute";"ampel_text_gelb";"geringe Stückzahl lagernd, wird nachbestellt !";"6";"Freitext";"Attribut";"ampel_text_gelb";;;;;;;;;;
"F-Alp-110";"100% Alpaca Fb: 110";"4958";;;;"Eigene Attribute";"ampel_text_gruen";"mehr als 10 Stk. lagernd";"7";"Freitext";"Attribut";"ampel_text_gruen";;;;;;;;;;
"F-Alp-110";"100% Alpaca Fb: 110";"4958";;;;"Eigene Attribute";"ampel_text_rot";"derzeit nicht lieferbar !";"8";"Freitext";"Attribut";"ampel_text_rot";;;;;;;;;;
"F-Alp-109";"100% Alpaca Fb: 109";"4957";;;;"Eigene Attribute";"ampel_text_gelb";"geringe Stückzahl lagernd, wird nachbestellt !";"6";"Freitext";"Attribut";"ampel_text_gelb";;;;;;;;;;
"F-Alp-109";"100% Alpaca Fb: 109";"4957";;;;"Eigene Attribute";"ampel_text_gruen";"mehr als 10 Stk. lagernd";"7";"Freitext";"Attribut";"ampel_text_gruen";;;;;;;;;;
"F-Alp-109";"100% Alpaca Fb: 109";"4957";;;;"Eigene Attribute";"ampel_text_rot";"derzeit nicht lieferbar !";"8";"Freitext";"Attribut";"ampel_text_rot";;;;;;;;;;
"F-Alp-106";"100% Alpaca Fb: 106";"4956";;;;"Eigene Attribute";"ampel_text_gelb";"geringe Stückzahl lagernd, wird nachbestellt !";"6";"Freitext";"Attribut";"ampel_text_gelb";;;;;;;;;;
"F-Alp-106";"100% Alpaca Fb: 106";"4956";;;;"Eigene Attribute";"ampel_text_gruen";"mehr als 10 Stk. lagernd";"7";"Freitext";"Attribut";"ampel_text_gruen";;;;;;;;;;
"F-Alp-106";"100% Alpaca Fb: 106";"4956";;;;"Eigene Attribute";"ampel_text_rot";"derzeit nicht lieferbar !";"8";"Freitext";"Attribut";"ampel_text_rot";;;;;;;;;;
"F-Alp-104";"100% Alpaca Fb: 104";"4955";"9120054120064";;;"Eigene Attribute";"ampel_text_gelb";"geringe Stückzahl lagernd, wird nachbestellt !";"6";"Freitext";"Attribut";"ampel_text_gelb";;;;;;;;;;
"F-Alp-104";"100% Alpaca Fb: 104";"4955";"9120054120064";;;"Eigene Attribute";"ampel_text_gruen";"mehr als 10 Stk. lagernd";"7";"Freitext";"Attribut";"ampel_text_gruen";;;;;;;;;;
"F-Alp-104";"100% Alpaca Fb: 104";"4955";"9120054120064";;;"Eigene Attribute";"ampel_text_rot";"derzeit nicht lieferbar !";"8";"Freitext";"Attribut";"ampel_text_rot";;;;;;;;;;
"F-Alp-103";"100% Alpaca Fb: 103";"4954";;;;"Eigene Attribute";"ampel_text_gelb";"geringe Stückzahl lagernd, wird nachbestellt !";"6";"Freitext";"Attribut";"ampel_text_gelb";;;;;;;;;;
"F-Alp-103";"100% Alpaca Fb: 103";"4954";;;;"Eigene Attribute";"ampel_text_gruen";"mehr als 10 Stk. lagernd";"7";"Freitext";"Attribut";"ampel_text_gruen";;;;;;;;;;
"F-Alp-103";"100% Alpaca Fb: 103";"4954";;;;"Eigene Attribute";"ampel_text_rot";"derzeit nicht lieferbar !";"8";"Freitext";"Attribut";"ampel_text_rot";;;;;;;;;;
"F-Alp-101";"100% Alpaca Fb: 101";"4953";;;;"Eigene Attribute";"ampel_text_gelb";"geringe Stückzahl lagernd, wird nachbestellt !";"6";"Freitext";"Attribut";"ampel_text_gelb";;;;;;;;;;
"F-Alp-101";"100% Alpaca Fb: 101";"4953";;;;"Eigene Attribute";"ampel_text_gruen";"mehr als 10 Stk. lagernd";"7";"Freitext";"Attribut";"ampel_text_gruen";;;;;;;;;;
"F-Alp-101";"100% Alpaca Fb: 101";"4953";;;;"Eigene Attribute";"ampel_text_rot";"derzeit nicht lieferbar !";"8";"Freitext";"Attribut";"ampel_text_rot";;;;;;;;;;
"F-Seide239";"Ferner Seide Fb: 239 lila";"4952";;;;"Eigene Attribute";"ampel_text_gelb";"geringe Stückzahl lagernd, wird nachbestellt !";"6";"Freitext";"Attribut";"ampel_text_gelb";;;;;;;;;;
"F-Seide239";"Ferner Seide Fb: 239 lila";"4952";;;;"Eigene Attribute";"ampel_text_gruen";"mehr als 10 Stk. lagernd";"7";"Freitext";"Attribut";"ampel_text_gruen";;;;;;;;;;
"F-Seide239";"Ferner Seide Fb: 239 lila";"4952";;;;"Eigene Attribute";"ampel_text_rot";"derzeit nicht lieferbar !";"8";"Freitext";"Attribut";"ampel_text_rot";;;;;;;;;;
"F-Seide236";"Ferner Seide Fb: 236 rost";"4951";;;;"Eigene Attribute";"ampel_text_gelb";"geringe Stückzahl lagernd, wird nachbestellt !";"6";"Freitext";"Attribut";"ampel_text_gelb";;;;;;;;;;
"F-Seide236";"Ferner Seide Fb: 236 rost";"4951";;;;"Eigene Attribute";"ampel_text_gruen";"mehr als 10 Stk. lagernd";"7";"Freitext";"Attribut";"ampel_text_gruen";;;;;;;;;;
"F-Seide236";"Ferner Seide Fb: 236 rost";"4951";;;;"Eigene Attribute";"ampel_text_rot";"derzeit nicht lieferbar !";"8";"Freitext";"Attribut";"ampel_text_rot";;;;;;;;;;
"F-Seide230";"Ferner Seide Fb: 230 grün";"4950";;;;"Eigene Attribute";"ampel_text_gelb";"geringe Stückzahl lagernd, wird nachbestellt !";"6";"Freitext";"Attribut";"ampel_text_gelb";;;;;;;;;;
"F-Seide230";"Ferner Seide Fb: 230 grün";"4950";;;;"Eigene Attribute";"ampel_text_gruen";"mehr als 10 Stk. lagernd";"7";"Freitext";"Attribut";"ampel_text_gruen";;;;;;;;;;
"F-Seide230";"Ferner Seide Fb: 230 grün";"4950";;;;"Eigene Attribute";"ampel_text_rot";"derzeit nicht lieferbar !";"8";"Freitext";"Attribut";"ampel_text_rot";;;;;;;;;;
"F-Seide225";"Ferner Seide Fb: 225 rot";"4949";;;;"Eigene Attribute";"ampel_text_gelb";"geringe Stückzahl lagernd, wird nachbestellt !";"6";"Freitext";"Attribut";"ampel_text_gelb";;;;;;;;;;
"F-Seide225";"Ferner Seide Fb: 225 rot";"4949";;;;"Eigene Attribute";"ampel_text_gruen";"mehr als 10 Stk. lagernd";"7";"Freitext";"Attribut";"ampel_text_gruen";;;;;;;;;;
"F-Seide225";"Ferner Seide Fb: 225 rot";"4949";;;;"Eigene Attribute";"ampel_text_rot";"derzeit nicht lieferbar !";"8";"Freitext";"Attribut";"ampel_text_rot";;;;;;;;;;
"F-Seide211";"Ferner Seide Fb: 211 hellgelb";"4946";;;;"Eigene Attribute";"ampel_text_gelb";"geringe Stückzahl lagernd, wird nachbestellt !";"6";"Freitext";"Attribut";"ampel_text_gelb";;;;;;;;;;
"F-Seide211";"Ferner Seide Fb: 211 hellgelb";"4946";;;;"Eigene Attribute";"ampel_text_gruen";"mehr als 10 Stk. lagernd";"7";"Freitext";"Attribut";"ampel_text_gruen";;;;;;;;;;
"F-Seide211";"Ferner Seide Fb: 211 hellgelb";"4946";;;;"Eigene Attribute";"ampel_text_rot";"derzeit nicht lieferbar !";"8";"Freitext";"Attribut";"ampel_text_rot";;;;;;;;;;
"F-Seide210";"Ferner Seide Fb: 210 braun";"4945";;;;"Eigene Attribute";"ampel_text_gelb";"geringe Stückzahl lagernd, wird nachbestellt !";"6";"Freitext";"Attribut";"ampel_text_gelb";;;;;;;;;;
"F-Seide210";"Ferner Seide Fb: 210 braun";"4945";;;;"Eigene Attribute";"ampel_text_gruen";"mehr als 10 Stk. lagernd";"7";"Freitext";"Attribut";"ampel_text_gruen";;;;;;;;;;
"F-Seide210";"Ferner Seide Fb: 210 braun";"4945";;;;"Eigene Attribute";"ampel_text_rot";"derzeit nicht lieferbar !";"8";"Freitext";"Attribut";"ampel_text_rot";;;;;;;;;;
"F-Seide201";"Ferner Seide Fb: 201 natur";"4944";;;;"Eigene Attribute";"ampel_text_gelb";"geringe Stückzahl lagernd, wird nachbestellt !";"6";"Freitext";"Attribut";"ampel_text_gelb";;;;;;;;;;
"F-Seide201";"Ferner Seide Fb: 201 natur";"4944";;;;"Eigene Attribute";"ampel_text_gruen";"mehr als 10 Stk. lagernd";"7";"Freitext";"Attribut";"ampel_text_gruen";;;;;;;;;;
"F-Seide201";"Ferner Seide Fb: 201 natur";"4944";;;;"Eigene Attribute";"ampel_text_rot";"derzeit nicht lieferbar !";"8";"Freitext";"Attribut";"ampel_text_rot";;;;;;;;;;
"F-Mer160-467";"Ferner Merino 160 Fb: 467";"4943";"9120054121320";;;"Eigene Attribute";"ampel_text_gelb";"geringe Stückzahl lagernd, wird nachbestellt !";"6";"Freitext";"Attribut";"ampel_text_gelb";;;;;;;;;;
"F-Mer160-467";"Ferner Merino 160 Fb: 467";"4943";"9120054121320";;;"Eigene Attribute";"ampel_text_gruen";"mehr als 10 Stk. lagernd";"7";"Freitext";"Attribut";"ampel_text_gruen";;;;;;;;;;
"F-Mer160-467";"Ferner Merino 160 Fb: 467";"4943";"9120054121320";;;"Eigene Attribute";"ampel_text_rot";"derzeit nicht lieferbar !";"8";"Freitext";"Attribut";"ampel_text_rot";;;;;;;;;;
"F-Mer160-466";"Ferner Merino 160 Fb: 466";"4942";;;;"Eigene Attribute";"ampel_text_gelb";"geringe Stückzahl lagernd, wird nachbestellt !";"6";"Freitext";"Attribut";"ampel_text_gelb";;;;;;;;;;
"F-Mer160-466";"Ferner Merino 160 Fb: 466";"4942";;;;"Eigene Attribute";"ampel_text_gruen";"mehr als 10 Stk. lagernd";"7";"Freitext";"Attribut";"ampel_text_gruen";;;;;;;;;;
"F-Mer160-466";"Ferner Merino 160 Fb: 466";"4942";;;;"Eigene Attribute";"ampel_text_rot";"derzeit nicht lieferbar !";"8";"Freitext";"Attribut";"ampel_text_rot";;;;;;;;;;
"F-Mer160-443";"Ferner Merino 160 Fb: 443";"4941";;;;"Eigene Attribute";"ampel_text_gelb";"geringe Stückzahl lagernd, wird nachbestellt !";"6";"Freitext";"Attribut";"ampel_text_gelb";;;;;;;;;;
"F-Mer160-443";"Ferner Merino 160 Fb: 443";"4941";;;;"Eigene Attribute";"ampel_text_gruen";"mehr als 10 Stk. lagernd";"7";"Freitext";"Attribut";"ampel_text_gruen";;;;;;;;;;
"F-Mer160-443";"Ferner Merino 160 Fb: 443";"4941";;;;"Eigene Attribute";"ampel_text_rot";"derzeit nicht lieferbar !";"8";"Freitext";"Attribut";"ampel_text_rot";;;;;;;;;;
"F-Mer160-442";"Ferner Merino 160 Fb: 442";"4940";;;;"Eigene Attribute";"ampel_text_gelb";"geringe Stückzahl lagernd, wird nachbestellt !";"6";"Freitext";"Attribut";"ampel_text_gelb";;;;;;;;;;
"F-Mer160-442";"Ferner Merino 160 Fb: 442";"4940";;;;"Eigene Attribute";"ampel_text_gruen";"mehr als 10 Stk. lagernd";"7";"Freitext";"Attribut";"ampel_text_gruen";;;;;;;;;;
"F-Mer160-442";"Ferner Merino 160 Fb: 442";"4940";;;;"Eigene Attribute";"ampel_text_rot";"derzeit nicht lieferbar !";"8";"Freitext";"Attribut";"ampel_text_rot";;;;;;;;;;
"F-Mer160-441";"Ferner Merino 160 Fb: 441";"4939";;;;"Eigene Attribute";"ampel_text_gelb";"geringe Stückzahl lagernd, wird nachbestellt !";"6";"Freitext";"Attribut";"ampel_text_gelb";;;;;;;;;;
"F-Mer160-441";"Ferner Merino 160 Fb: 441";"4939";;;;"Eigene Attribute";"ampel_text_gruen";"mehr als 10 Stk. lagernd";"7";"Freitext";"Attribut";"ampel_text_gruen";;;;;;;;;;
"F-Mer160-441";"Ferner Merino 160 Fb: 441";"4939";;;;"Eigene Attribute";"ampel_text_rot";"derzeit nicht lieferbar !";"8";"Freitext";"Attribut";"ampel_text_rot";;;;;;;;;;
"F-Mer160-440";"Ferner Merino 160 Fb: 440";"4938";;;;"Eigene Attribute";"ampel_text_gelb";"geringe Stückzahl lagernd, wird nachbestellt !";"6";"Freitext";"Attribut";"ampel_text_gelb";;;;;;;;;;
"F-Mer160-440";"Ferner Merino 160 Fb: 440";"4938";;;;"Eigene Attribute";"ampel_text_gruen";"mehr als 10 Stk. lagernd";"7";"Freitext";"Attribut";"ampel_text_gruen";;;;;;;;;;
"F-Mer160-440";"Ferner Merino 160 Fb: 440";"4938";;;;"Eigene Attribute";"ampel_text_rot";"derzeit nicht lieferbar !";"8";"Freitext";"Attribut";"ampel_text_rot";;;;;;;;;;
"F-Mer160-439";"Ferner Merino 160 Fb: 439";"4937";;;;"Eigene Attribute";"ampel_text_gelb";"geringe Stückzahl lagernd, wird nachbestellt !";"6";"Freitext";"Attribut";"ampel_text_gelb";;;;;;;;;;
"F-Mer160-439";"Ferner Merino 160 Fb: 439";"4937";;;;"Eigene Attribute";"ampel_text_gruen";"mehr als 10 Stk. lagernd";"7";"Freitext";"Attribut";"ampel_text_gruen";;;;;;;;;;
